"x","y","frame","time_seconds"
155.773173391494,276.354416575791,1,0.2
151.020542317173,267.347576006574,2,0.4
152.298084929226,263.67443796836,3,0.6
156.068111455108,251.618163054696,4,0.8
155.794117647059,236.169934640523,5,1
164.632258064516,214.290322580645,6,1.2
140,322,7,1.4
155.242081447964,354.502262443439,8,1.6
169.47533632287,355.885650224215,9,1.8
182.964285714286,351.042410714286,10,2
196.554112554113,343.30303030303,11,2.2
211.850917431193,334.754587155963,12,2.4
229.018306636156,327.022883295195,13,2.6
246.665071770335,319.825358851675,14,2.8
264.847058823529,311.475294117647,15,3
281.733490566038,300.35141509434,16,3.2
297.311855670103,286.425257731959,17,3.4
308.706467661692,271.176616915423,18,3.6
320.094786729858,254.011848341232,19,3.8
333.868020304569,236.271573604061,20,4
348.53640776699,219.997572815534,21,4.2
364.773892773893,202.825174825175,22,4.4
380.831050228311,185.070776255708,23,4.6
397.817567567568,166.585585585586,24,4.8
416.811659192825,149.136771300448,25,5
437.238512035011,138.45295404814,26,5.2
459.444924406048,135.535637149028,27,5.4
481.338174273859,137.896265560166,28,5.6
503.616352201258,143.603773584906,29,5.8
525.087286527514,151.690702087287,30,6
547.109780439122,162,31,6.2
567.240310077519,173.872093023256,32,6.4
587.452423698384,187.168761220826,33,6.6
603.852822580645,201.931451612903,34,6.8
615.919889502762,221.190607734807,35,7
623.909589041096,243.117808219178,36,7.2
628.144104803493,264.591703056769,37,7.4
629.847079037801,283.683848797251,38,7.6
627.413969335605,304.231686541738,39,7.8
635,289,40,8
613.956989247312,344.188172043011,41,8.2
606.552419354839,366.471774193548,42,8.4
601.496197718631,385.834600760456,43,8.6
595.345631067961,407.66213592233,44,8.8
586.995525727069,426.626398210291,45,9
572.982456140351,447.962406015038,46,9.2
560.528340080972,462.704453441296,47,9.4
568,456,48,9.6
562,465.875,49,9.8
518.472,502.86,50,10
528,489,51,10.2
515,504,52,10.4
464.186440677966,543.841807909605,53,10.6
443.160621761658,553.025906735751,54,10.8
424.608695652174,558.492753623188,55,11
404.672131147541,562.106557377049,56,11.2
387.749486652977,563.451745379877,57,11.4
368.365853658537,563.106941838649,58,11.6
347.550387596899,560.455426356589,59,11.8
328.320792079208,554.627722772277,60,12
309.820987654321,544.934156378601,61,12.2
293.114822546973,532.958246346555,62,12.4
277.094623655914,520.258064516129,63,12.6
261.741127348643,506.23382045929,64,12.8
248.071748878924,491.533632286995,65,13
238.317880794702,474.068432671082,66,13.2
232.755991285403,456.679738562092,67,13.4
228.502164502165,438.212121212121,68,13.6
222.180586907449,419.781038374718,69,13.8
212.528888888889,403.151111111111,70,14
200.38986784141,387.262114537445,71,14.2
187.935064935065,371.168831168831,72,14.4
177.397894736842,354.313684210526,73,14.6
168.784017278618,335.470842332613,74,14.8
164.476767676768,316.705050505051,75,15
165.970526315789,297.970526315789,76,15.2
171.910973084886,280.846790890269,77,15.4
180.567451820128,265.929336188437,78,15.6
191.676348547718,250.643153526971,79,15.8
202.139830508475,234.326271186441,80,16
213.01906779661,216.733050847458,81,16.2
224.616052060738,199.498915401302,82,16.4
237.693446088795,185.389006342495,83,16.6
254.473460721868,177.68152866242,84,16.8
272.046610169492,175.324152542373,85,17
289.941558441558,175.603896103896,86,17.2
308.978401727862,176.179265658747,87,17.4
328.757777777778,175.117777777778,88,17.6
348.600446428571,171.743303571429,89,17.8
367.886710239651,167.433551198257,90,18
388.004376367615,164.608315098468,91,18.2
407.879310344828,164.961206896552,92,18.4
428.128378378378,167.943693693694,93,18.6
448.147651006711,172.644295302013,94,18.8
467.018140589569,181.154195011338,95,19
484.355140186916,191.504672897196,96,19.2
501.556291390728,199.871964679912,97,19.4
519.854945054945,203.320879120879,98,19.6
538.155172413793,202.310344827586,99,19.8
556.346391752577,200.876288659794,100,20
575.403765690377,201.194560669456,101,20.2
593.732177263969,205.109826589595,102,20.4
608.165067178503,212.852207293666,103,20.6
616.756944444444,227.106481481481,104,20.8
620.54525862069,242.058189655172,105,21
621.043151969981,256.454033771107,106,21.2
618.767695099819,271.774954627949,107,21.4
612.554493307839,289.600382409178,108,21.6
603.343035343035,306.272349272349,109,21.8
592.160751565762,321.553235908142,110,22
578.381898454746,336.783664459161,111,22.2
565.117117117117,352.20045045045,112,22.4
552.747706422018,368.770642201835,113,22.6
541.065759637188,386,114,22.8
529.055684454756,403.429234338747,115,23
517.018561484919,420.54060324826,116,23.2
504.661363636364,438.093181818182,117,23.4
491.591517857143,455.310267857143,118,23.6
477.495744680851,469.682978723404,119,23.8
459.565315315315,481.515765765766,120,24
440.710407239819,489.153846153846,121,24.2
421.536363636364,495.061363636364,122,24.4
400.937209302326,499.120930232558,123,24.6
381.457858769932,500.767653758542,124,24.8
361.052036199095,500.746606334842,125,25
340.401785714286,499.325892857143,126,25.2
321.497674418605,492.997674418605,127,25.4
306.849658314351,482.086560364465,128,25.6
295.453514739229,467.181405895692,129,25.8
287.346241457859,449.96583143508,130,26
281.733021077283,431.765807962529,131,26.2
277.625287356322,412.524137931034,132,26.4
275.392857142857,392.395238095238,133,26.6
275.708624708625,371.937062937063,134,26.8
277.727272727273,351.437799043062,135,27
281.705035971223,330.822541966427,136,27.2
287.321428571429,310.82380952381,137,27.4
294.960687960688,291.97542997543,138,27.6
305.441805225653,275.819477434679,139,27.8
319.221393034826,262.890547263682,140,28
334.924757281553,256.116504854369,141,28.2
351.503667481663,251.41075794621,142,28.4
369.264705882353,247.051470588235,143,28.6
386.638613861386,241.079207920792,144,28.8
405.627160493827,233.513580246914,145,29
423.553140096618,226.495169082126,146,29.2
442.709756097561,222.714634146341,147,29.4
462.173594132029,223.088019559902,148,29.6
481.075117370892,224.863849765258,149,29.8
500.62676056338,228.37323943662,150,30
